Sl no,"Part No.
230 volt",Brand,Model,Description,Unit,MRP QAR,MRP AED
1,13000656,RCF,ART 915-A,"Digital active speaker system 15"" + 1.75"" v.c., 1050Wrms, 2100Wpeak",PCS,4359,4306
1,13000680,RCF,ART 932-A,"Digital active speaker system 12"" + 3"" v.c., 1050Wrms, 2100Wpeak",PCS,5597,5528
1,13000682,RCF,ART 935-A,"Digital active speaker system 15"" + 3"" v.c., 1050Wrms, 2100Wpeak",PCS,6135,6060
1,13000691,RCF,ART 945-A,"Digital active speaker system 15"" + 4"" v.c., 1050Wrms, 2100Wpeak",PCS,8287,8186
1,13000706,RCF,ART 910-AX,"Digital active speaker system 10"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub presets",PCS,4843,4784
1,13000708,RCF,ART 912-AX,"Digital active speaker system 12"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub presets",PCS,5220,5156
1,13000710,RCF,ART 915-AX,"Digital active speaker system 15"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub presets",PCS,5919,5847
1,13000821,RCF,ART 708-A MK5,"Digital active speaker system 8"" + 1.4"" v.c., 700Wrms, 1400Wpeak",PCS,2368,2339
1,13000822,RCF,ART 710-A MK5,"Digital active speaker system 10"" + 1.75"" v.c., 700Wrms, 1400Wpeak",PCS,2906,2870
1,13000823,RCF,ART 712-A MK5,"Digital active speaker system 12"" + 1.75"" v.c., 700Wrms, 1400Wpeak",PCS,3121,3083
1,13000824,RCF,ART 715-A MK5,"Digital active speaker system 15"" + 1.75"" v.c., 700Wrms, 1400Wpeak",PCS,3605,3561
1,13000825,RCF,ART 732-A MK5,"Digital active speaker system 12"" + 3"" v.c., 700Wrms, 1400Wpeak",PCS,4789,4731
1,13000826,RCF,ART 735-A MK5,"Digital active speaker system 15"" + 3"" v.c., 700Wrms, 1400Wpeak",PCS,5489,5422
1,13000827,RCF,ART 745-A MK5,"Digital active speaker system 15"" + 4"" v.c., 700Wrms, 1400Wpeak",PCS,7534,7442
1,13000548,RCF,ART 725 MK4,"Speaker system 15"" + 2"", 700Wrms, 1400Wpeak",PCS,6027,5954
1,13000668,RCF,NX 910-A,"Two-way Active speaker system 10"" + 1.75"" v.c., 2.100 Wpeak",PCS,4951,4890
1,13000673,RCF,NX 912-A,"Two-way Active speaker system 12"" + 1.75"" v.c., 2.100 Wpeak",PCS,5597,5528
1,13000674,RCF,NX 915-A,"Two-way Active speaker system 15"" + 1.75"" v.c., 2.100 Wpeak",PCS,6673,6591
1,13000766,RCF,NX 932-A,"Two-way Active speaker system 12"" + 3"" v.c., 2.100 Wpeak",PCS,7534,7442
1,13000874,RCF,NX 932-A W,"Two-way Active speaker system 12"" + 3"" v.c., 2.100 Wpeak, white",PCS,7534,7442
1,13000768,RCF,NX 945-A,"Two-way Active speaker system 15"" + 4"" v.c., 2.100 Wpeak",PCS,9041,8930
1,13000876,RCF,NX 945-A W,"Two-way Active speaker system 15"" + 4"" v.c., 2.100 Wpeak, white",PCS,9041,8930
1,13000888,RCF,NXL 14-A,"Two-way Active speaker system 2 x 6"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak",PCS,6565,6485
1,13000891,RCF,NXL 14-A W,"Two-way Active speaker system 2 x 6"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak, white",PCS,6565,6485
1,13000610,RCF,NXL 24-A MK2,"Active 2-way array, 4x6"" woofers + 2.5"" v.c., 1050Wrms, 2100Wpeak",PCS,11193,11057
1,13000609,RCF,NXL 44-A MK2,"Active 2-way array, 3x10"" woofers + 3"" v.c., 1050Wrms, 2100Wpeak",PCS,15606,15415
1,13000805,RCF,NXW 44-A,"Active 2-way wide directivity speaker, 3x10"" woofers + 3"" v.c., 1050Wrms, 2100Wpeak",PCS,15606,15415
1,13000743,RCF,NX 985-A,"Three-way Active speaker system 15"" + 8"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak",PCS,11946,11801
1,13000260,RCF,NX 15-SMA,"Active coaxial stage monitor 15""+1"", 700Wrms, 1400Wpeak",PCS,10224,10100
1,13000235,RCF,NX 12-SMA,"Active coaxial stage monitor 12""+1"", 700Wrms, 1400Wpeak",PCS,8933,8824
1,13000233,RCF,NX 10-SMA,"Active coaxial stage monitor 10""+1"", 400Wrms, 800Wpeak",PCS,6673,6591
1,13000783,RCF,NX 912-SMA,"Active high-output multipurpose monitor 12"" + 1.75"" v.c., 2.100 Wpeak",PCS,6565,6485
1,13000785,RCF,NX 915-SMA,"Active high-output multipurpose monitor 15"" + 1.75"" v.c., 2.100 Wpeak",PCS,7534,7442
1,13000818,RCF,SUB 702-AS MK3,"12"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",PCS,4843,4784
1,13000812,RCF,SUB 705-AS MK3,"15"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",PCS,6135,6060
1,13000809,RCF,SUB 708-AS MK3,"18"" Bass Reflex Active Subwoofer, 700Wrms, 1400Wpeak",PCS,7749,7655
1,13000846,RCF,SUB 905-AS MK3,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, presets",PCS,7964,7867
1,13000844,RCF,SUB 8003-AS MK3,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, presets",PCS,9256,9143
1,13000835,RCF,SUB 15-AX,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets",PCS,8072,7973
1,13000836,RCF,SUB 18-AX,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets",PCS,9579,9462
1,13000878,RCF,SUB 15-AX W,"15"" Bass Reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets, white",PCS,8072,7973
1,13000880,RCF,SUB 18-AX W,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak, BT control, Touch color display, speaker presets, white",PCS,9579,9462
1,13000787,RCF,SUB 18-AS,"18"" Bass reflex Active Subwoofer, 1100Wrms, 2200Wpeak",PCS,8072,7973
1,13000752,RCF,SUB 8008-AS,"Double 18"" Bass Reflex Active Subwoofer, 2200Wrms, 4400Wpeak",PCS,17651,17435
1,13360324,RCF,CVR EVOX 12,Cover for Evox 12,PCS,700,691
1,13360406,RCF,CVR-WH EVOX J,Cover  with wheels for EVOX J8 and EVOX JMIX8,PCS,1130,1116
1,13360407,RCF,CVR EVOX J,Cover  for EVOX J8 and EVOX JMIX8,PCS,377,372
1,13360473,RCF,CVR ART 910,"ART cover for ART 9 series 10""",PCS,366,361
1,13360474,RCF,CVR ART 912,"ART cover for ART 9 series 12""",PCS,387,383
1,13360478,RCF,CVR ART 915,"ART cover for ART 9 series 15""",PCS,420,415
