Brand ,"REFERENCE/
PART NO",Model,Description EN,UOM,MRP QAR,MRP AED
GARVAN,WN120B,WN120B,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt white,Pcs,3508,3465
GARVAN,WN120Z,WN120Z,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt Corten effect,Pcs,3825,3779
GARVAN,WN120EA,WN120EA,Outdoor omnidirectional subwoofer in Concrete diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt,Pcs,7119,7034
GARVAN,WN120V-W,WN120V-W,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt green with white led,Pcs,4169,4119
GARVAN,WN120Y-W,WN120Y-W,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt grey with white led,Pcs,4169,4119
GARVAN,WN120A-W,WN120A-W,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt charcoal grey with white led,Pcs,4169,4119
GARVAN,WN120B-W,WN120B-W,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt white with white led,Pcs,4169,4119
GARVAN,WN120Z-W,WN120Z-W,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt Corten effect with white led,Pcs,4482,4428
GARVAN,WN120EA-W,WN120EA-W,Outdoor omnidirectional subwoofer in Concrete diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt with white led,Pcs,7781,7687
GARVAN,WN120V-R,WN120V-R,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt green with RGB led,Pcs,4314,4262
GARVAN,WN120Y-R,WN120Y-R,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt grey with RGB led,Pcs,4314,4262
GARVAN,WN120A-R,WN120A-R,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt charcoal grey with RGB led,Pcs,4314,4262
GARVAN,WN120B-R,WN120B-R,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt white with RGB led,Pcs,4314,4262
GARVAN,WN120Z-R,WN120Z-R,Outdoor omnidirectional subwoofer in PE diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt Corten effect with RGB led,Pcs,4631,4576
GARVAN,WN120EA-R,WN120EA-R,Outdoor omnidirectional subwoofer in Concrete diam.260xh625mm | 1x200mm 4? 200Wrms 91dB/1mt with RGB led,Pcs,7926,7831
GARVAN,SN116V,SN116V,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt green,Pcs,2905,2870
GARVAN,SN116Y,SN116Y,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt grey,Pcs,2905,2870
GARVAN,SN116A,SN116A,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt charcoal grey,Pcs,2905,2870
GARVAN,SN116B,SN116B,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt white,Pcs,2905,2870
GARVAN,SN116Z,SN116Z,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt Corten effect,Pcs,3190,3152
GARVAN,SN116V-W,SN116V-W,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt green with White LED,Pcs,3562,3519
GARVAN,SN116Y-W,SN116Y-W,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt grey with White LED,Pcs,3562,3519
GARVAN,SN116A-W,SN116A-W,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt charcoal grey with White LED,Pcs,3562,3519
GARVAN,SN116B-W,SN116B-W,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt white with White LED,Pcs,3562,3519
GARVAN,SN116Z-W,SN116Z-W,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt Corten effect with White LED,Pcs,3852,3806
GARVAN,SN116V-R,SN116V-R,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt green with RGB LED,Pcs,3712,3667
GARVAN,SN116Y-R,SN116Y-R,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt grey with RGB LED,Pcs,3712,3667
GARVAN,SN116A-R,SN116A-R,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt charcoal grey with RGB LED,Pcs,3712,3667
GARVAN,SN116B-R,SN116B-R,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt white with RGB LED,Pcs,3712,3667
GARVAN,SN116Z-R,SN116Z-R,Outdoor omnidirectional loudspeaker in PE diam.260xh400mm | 1x130mm full range DC 8? 50Wrms 88dB/1mt Corten effect,Pcs,3997,3949
GARVAN,SA117V,SA117V,360-degree cube loudspeaker - 8? 50Wrms - Solid surface Corian – laquered in green ral 6010,Pcs,7487,7396
GARVAN,SA117Y,SA117Y,Outdoor Cube loudspeaker 8ohm in Solid Surface enhanced with Corian - laqueren in RAL9006 gray,Pcs,7487,7396
GARVAN,SA117B,SA117B,Outdoor Cube loudspeaker 8? - Solid Surface enhanced with Corian – bianco,Pcs,6240,6165
GARVAN,SA117Z,SA117Z,Outdoor Cube loudspeaker 8 ?- Solid Surface enhanced with Corian - Corten effect,Pcs,7677,7584
GARVAN,SA117C,SA117C,Outdoor Cube loudspeaker 8 ?- Solid Surface enhanced with Corian – RAL colours,Pcs,7541,7450
GARVAN,SA117GA,SA117GA,Parallelepiped out-door 360 Loudspeaker 280x280x280mm 60Wrms 8? in Porcelain stoneware 12mm finishing Ivory,Pcs,8506,8404
