,,,RCF & TT Audio Price List Feb 2025,,
,Part No.230,Model,Description,MRP QAR,MRP AED
1,13360231,STCK-KIT SUB 8006,Pair of accessories to lock FLY BAR HDL 20-18 to SUB 8006-AS or to lock FLY BAR HDL 10 to SUB 8004-AS. M20 fixing p,721,712
1,13360286,CVR SUB 8004,Cover for SUB8004-AS,592,585
1,13360708,CVR60708,Cover for SUB 808-AS,355,351
1,13360709,HBR60709,Vertical bracket for SUB 808-AS,678,670
1,13360110,AC PRO-PM,Pole mount accessory for satellite loudspeaker on a subwoofer,818,808
1,13360638,PM-KIT M20 W,"M20 Pole mount, white",226,223
1,13360132,QL-PIN D11.1 L44.5 4X,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,1614,1595
1,13360219,QL-PIN D9.6 L21.3 4X,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,474,468
1,13360220,QL-PIN D9.6 L26.9 4X,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,570,563
1,13360613,QL-PIN 007,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,549,542
1,13360626,QL-PIN 008,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,441,436
1,13360627,QL-PIN 009,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,441,436
1,13360633,QL-PIN 010,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,495,489
1,13360634,QL-PIN 011,Quick lock pin kit (4x). Please refer to RCF pin table (www.rcf.it/en/pin-table) to check compatible products.,441,436
1,13360145,CBL POWER BOX 6X,AC Stage Box,2960,2924
1,13360067,PM-KIT M20,M20 Pole mount,226,223
1,13360066,M20 PLATE,Threaded plate for M20 pole mount,97,96
1,13360109,AC PRO-FS,Professional loudspeaker floor stand,1130,1116
1,13000481,EVOX 12,"Digital active speaker system 8x4"" drivers + 15"" sub, 700Wrms, 1400Wpeak",12054,11907
1,13000843,EVOX 12 W,"Digital active speaker system 8x4"" drivers + 15"" sub, 700Wrms, 1400WpeaK, White",12054,11907
1,13000554,EVOX J8,"Digital active speaker system 8x2"" drivers + 12"" sub, 700Wrms, 1400Wpeak",5005,4944
1,13000567,EVOX J8 W,Evox J8 in white colour,5005,4944
1,13000556,EVOX JMIX8,Evox J8 with digital mixer,6565,6485
1,13000569,EVOX JMIX8 W,Evox J8 with digital mixer in white colour,6565,6485
1,13000654,ART 910-A,"Digital active speaker system 10"" + 1.75"" v.c., 1050Wrms, 2100Wpeak",3336,3296
1,13000655,ART 912-A,"Digital active speaker system 12"" + 1.75"" v.c., 1050Wrms, 2100Wpeak",3713,3668
1,13000656,ART 915-A,"Digital active speaker system 15"" + 1.75"" v.c., 1050Wrms, 2100Wpeak",4359,4306
1,13000680,ART 932-A,"Digital active speaker system 12"" + 3"" v.c., 1050Wrms, 2100Wpeak",5597,5528
1,13000682,ART 935-A,"Digital active speaker system 15"" + 3"" v.c., 1050Wrms, 2100Wpeak",6135,6060
1,13000691,ART 945-A,"Digital active speaker system 15"" + 4"" v.c., 1050Wrms, 2100Wpeak",8287,8186
1,13000706,ART 910-AX,"Digital active speaker system 10"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub pre",4843,4784
1,13000708,ART 912-AX,"Digital active speaker system 12"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub pre",5220,5156
1,13000710,ART 915-AX,"Digital active speaker system 15"" + 1.75"" v.c., 1050Wrms, 2100Wpeak, BT audio & control, Touch color display, sub pre",5919,5847
1,13000821,ART 708-A MK5,"Digital active speaker system 8"" + 1.4"" v.c., 700Wrms, 1400Wpeak",2368,2339
1,13000822,ART 710-A MK5,"Digital active speaker system 10"" + 1.75"" v.c., 700Wrms, 1400Wpeak",2906,2870
1,13000823,ART 712-A MK5,"Digital active speaker system 12"" + 1.75"" v.c., 700Wrms, 1400Wpeak",3121,3083
1,13000824,ART 715-A MK5,"Digital active speaker system 15"" + 1.75"" v.c., 700Wrms, 1400Wpeak",3605,3561
1,13000825,ART 732-A MK5,"Digital active speaker system 12"" + 3"" v.c., 700Wrms, 1400Wpeak",4789,4731
1,13000826,ART 735-A MK5,"Digital active speaker system 15"" + 3"" v.c., 700Wrms, 1400Wpeak",5489,5422
1,13000827,ART 745-A MK5,"Digital active speaker system 15"" + 4"" v.c., 700Wrms, 1400Wpeak",7534,7442
1,13000548,ART 725 MK4,"Speaker system 15"" + 2"", 700Wrms, 1400Wpeak",6027,5954
1,13000668,NX 910-A,"Two-way Active speaker system 10"" + 1.75"" v.c., 2.100 Wpeak",4951,4890
1,13000673,NX 912-A,"Two-way Active speaker system 12"" + 1.75"" v.c., 2.100 Wpeak",5597,5528
1,13000674,NX 915-A,"Two-way Active speaker system 15"" + 1.75"" v.c., 2.100 Wpeak",6673,6591
1,13000766,NX 932-A,"Two-way Active speaker system 12"" + 3"" v.c., 2.100 Wpeak",7534,7442
1,13000874,NX 932-A W,"Two-way Active speaker system 12"" + 3"" v.c., 2.100 Wpeak, white",7534,7442
1,13000768,NX 945-A,"Two-way Active speaker system 15"" + 4"" v.c., 2.100 Wpeak",9041,8930
1,13000876,NX 945-A W,"Two-way Active speaker system 15"" + 4"" v.c., 2.100 Wpeak, white",9041,8930
1,13000888,NXL 14-A,"Two-way Active speaker system 2 x 6"" + 1.75"" v.c., 1050Wrms, 2100 Wpeak",6565,6485
